PONOT2016121315111LAHTI                         LAHTI                                                 199001012FI185Päijät-Häme                   Päijänne-Tavastland           398Lahti               Lahtis              1
PONOT2016121325370PERTTELI                      PERTTELI                                              198601011FI183Varsinais-Suomi               Egentliga Finland             734Salo                Salo                1
PONOT2016121329811SIIKAINEN                     SIIKAINEN                                             199702102FI191Satakunta                     Satakunda                     747Siikainen           Siikainen           1
PONOT2016121333470YLÖJÄRVI                      YLÖJÄRVI                                              198805061FI192Pirkanmaa                     Birkaland                     980Ylöjärvi            Ylöjärvi            1
PONOT2016121337370VESILAHTI                     VESILAHTI                                             201608021FI192Pirkanmaa                     Birkaland                     922Vesilahti           Vesilahti           1
PONOT2016121337740HAUKILA                       HAUKILA                                               198601011FI192Pirkanmaa                     Birkaland                     908Valkeakoski         Valkeakoski         1
PONOT2016121341210JOKIHAARA                     JOKIHAARA                                             199005011FI193Keski-Suomi                   Mellersta Finland             892Uurainen            Uurainen            1
PONOT2016121357510SAVONLINNA                    SAVONLINNA                    SLN                     198811011FI131Etelä-Savo                    Södra Savolax                 740Savonlinna          Nyslott             1
PONOT2016121361950JUONIKYLÄ                     JUONIKYLÄ                                             198601011FI194Etelä-Pohjanmaa               Södra Österbotten             232Kauhajoki           Kauhajoki           1
PONOT2016121364610YLIMARKKU                     ÖVERMARK                                              199601171FI195Pohjanmaa                     Österbotten                   545Närpiö              Närpes              4
PONOT2016121374630HEINÄKYLÄ                     HEINÄKYLÄ                                             199810011FI132Pohjois-Savo                  Norra Savolax                 263Kiuruvesi           Kiuruvesi           1
PONOT2016121398101KEMIJÄRVI                     KEMIJÄRVI                                             199509292FI1A3Lappi                         Lappland                      320Kemijärvi           Kemijärvi           1
PONOT2016121308480LOHJA                         LOJO                                                  200609291FI181Uusimaa                       Nyland                        444Lohja               Lojo                2
PONOT2016121315500LAHTI                         LAHTI                         LH                      198811011FI185Päijät-Häme                   Päijänne-Tavastland           398Lahti               Lahtis              1
PONOT2016121320100TURKU                         ÅBO                           TKU                     199709251FI183Varsinais-Suomi               Egentliga Finland             853Turku               Åbo                 2
PONOT2016121322930FISKÖ                         FISKÖ                                                 198609261FI200Ahvenanmaa                    Åland                         035Brändö              Brändö              4
PONOT2016121333711TAMPERE                       TAMPERE                                               199508032FI192Pirkanmaa                     Birkaland                     837Tampere             Tammerfors          1
PONOT2016121349401HAMINA                        HAMINA                                                200512162FI186Kymenlaakso                   Kymmenedalen                  075Hamina              Fredrikshamn        1
PONOT2016121362240HUHMARKOSKI                   HUHMARKOSKI                                           198807011FI194Etelä-Pohjanmaa               Södra Österbotten             233Kauhava             Kauhava             1
PONOT2016121365410SUNDOM                        SUNDOM                                                199611011FI195Pohjanmaa                     Österbotten                   905Vaasa               Vasa                2
